,1. open,2. high,3. low,4. close,5. volume
2024-03-17,2153.65,2156.98,2153.17,2156.62,0.0
2024-03-15,2161.73,2172.8,2155.25,2156.19,0.0
2024-03-14,2175.57,2177.07,2152.82,2161.72,0.0
2024-03-13,2156.99,2179.91,2156.65,2175.59,0.0
2024-03-12,2183.7,2184.58,2150.63,2156.98,0.0
2024-03-11,2181.73,2189.1,2174.87,2183.69,0.0
2024-03-10,2179.92,2183.89,2177.24,2181.71,0.0
2024-03-08,2162.0,2195.16,2154.1,2179.06,0.0
2024-03-07,2147.43,2164.81,2144.37,2161.99,0.0
2024-03-06,2128.12,2152.28,2123.75,2147.38,0.0
2024-03-05,2114.65,2141.9,2110.53,2128.13,0.0
2024-03-04,2083.6,2119.94,2079.56,2114.66,0.0
2024-03-03,2082.78,2086.25,2082.6,2083.59,0.0
2024-03-01,2044.31,2088.38,2039.13,2083.1,0.0
2024-02-29,2034.79,2050.73,2028.17,2044.32,0.0
2024-02-28,2030.19,2037.94,2024.57,2034.75,0.0
2024-02-27,2031.3,2039.51,2028.82,2030.2,0.0
2024-02-26,2034.14,2037.11,2025.13,2031.31,0.0
2024-02-25,2033.19,2035.06,2033.19,2034.12,0.0
2024-02-23,2024.91,2041.39,2016.12,2035.6,0.0
2024-02-22,2025.84,2034.94,2019.71,2024.86,0.0
2024-02-21,2024.26,2032.28,2020.14,2025.85,0.0
2024-02-20,2016.23,2030.91,2015.08,2024.24,0.0
2024-02-19,2013.95,2023.01,2013.33,2016.24,0.0
2024-02-18,2011.79,2016.31,2010.5,2013.99,0.0
2024-02-16,2003.56,2015.2,1995.18,2013.35,0.0
2024-02-15,1993.84,2008.33,1990.29,2003.51,0.0
2024-02-14,1991.55,1996.18,1984.32,1993.83,0.0
2024-02-13,2018.93,2029.93,1990.21,1991.56,0.0
2024-02-12,2025.51,2027.62,2011.97,2018.94,0.0
2024-02-11,2026.79,2026.82,2024.51,2025.52,0.0
2024-02-09,2034.33,2037.23,2020.36,2024.35,0.0
2024-02-08,2036.57,2038.73,2020.27,2034.35,0.0
2024-02-07,2035.3,2044.61,2030.66,2036.6,0.0
2024-02-06,2025.12,2038.92,2022.96,2035.31,0.0
2024-02-05,2039.33,2039.9,2014.95,2025.15,0.0
2024-02-04,2041.66,2042.3,2039.2,2039.34,0.0
2024-02-02,2054.9,2057.67,2027.92,2039.67,0.0
2024-02-01,2040.01,2065.47,2030.1,2054.89,0.0
2024-01-31,2036.55,2056.04,2031.01,2039.99,0.0
2024-01-30,2031.17,2048.66,2029.14,2036.53,0.0
2024-01-29,2021.93,2037.59,2019.36,2031.16,0.0
2024-01-28,2023.79,2028.61,2021.32,2021.92,0.0
2024-01-26,2020.78,2026.94,2016.01,2018.51,0.0
2024-01-25,2016.43,2025.27,2009.73,2020.75,0.0
2024-01-24,2029.41,2036.76,2011.28,2016.41,0.0
2024-01-23,2020.81,2037.92,2019.65,2029.42,0.0
2024-01-22,2027.65,2032.19,2016.68,2020.8,0.0
2024-01-21,2028.76,2028.76,2027.01,2027.67,0.0
2024-01-19,2023.89,2039.38,2020.46,2029.6,0.0
2024-01-18,2009.69,2024.5,2005.88,2023.9,0.0
2024-01-17,2028.22,2033.02,2001.89,2009.63,0.0
2024-01-16,2054.08,2054.59,2024.31,2028.21,0.0
2024-01-15,2047.79,2058.68,2045.91,2054.06,0.0
2024-01-14,2047.97,2048.74,2046.4,2047.69,0.0
2024-01-12,2035.36,2062.28,2030.14,2048.99,0.0
2024-01-11,2026.88,2042.23,2013.39,2035.41,0.0
2024-01-10,2030.87,2040.31,2020.5,2026.82,0.0
2024-01-09,2030.78,2042.01,2026.12,2030.89,0.0
2024-01-08,2044.37,2046.67,2016.86,2030.77,0.0
2024-01-07,2044.67,2045.69,2043.02,2044.35,0.0
2024-01-05,2044.35,2064.02,2024.59,2045.53,0.0
2024-01-04,2043.05,2051.02,2036.29,2044.34,0.0
2024-01-03,2059.66,2066.03,2030.7,2043.07,0.0
2024-01-02,2063.81,2078.94,2056.05,2059.64,0.0
2024-01-01,2065.32,2066.61,2063.26,2063.78,0.0
2023-12-29,2066.87,2074.88,2058.28,2062.96,0.0
2023-12-28,2079.62,2088.55,2064.65,2066.89,0.0
2023-12-27,2066.29,2084.5,2061.57,2079.58,0.0
2023-12-26,2055.04,2069.13,2053.53,2066.28,0.0
