,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
54,1775.56,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5
55,1783.96,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245
56,1773.345,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125
57,1768.41,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075
58,1792.595,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905
59,1778.805,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905
60,1785.48,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9
61,1814.755,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98
62,1830.035,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815
63,1836.295,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78
64,1835.705,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445
65,1817.615,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825
66,1825.15,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37
67,1844.825,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97
68,1869.095,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885
69,1870.215,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995
70,1866.045,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08
71,1874.08,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94
72,1876.115,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47
73,1877.5,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55
74,1898.245,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62
75,1896.125,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62,1777.46
76,1898.075,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62,1777.46,1775.48
77,1903.905,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62,1777.46,1775.48,1781.68
78,1898.905,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62,1777.46,1775.48,1781.68,1778.32
79,1907.9,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62,1777.46,1775.48,1781.68,1778.32,1761.595
80,1870.98,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62,1777.46,1775.48,1781.68,1778.32,1761.595,1768.335
81,1892.815,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62,1777.46,1775.48,1781.68,1778.32,1761.595,1768.335,1775.58
82,1898.78,1893.445,1888.825,1898.37,1877.97,1866.885,1857.995,1819.08,1776.94,1764.47,1783.55,1777.62,1777.46,1775.48,1781.68,1778.32,1761.595,1768.335,1775.58,1787.59
